Time,Energy
22900,12067.9
22901,12316.14
22902,13331.33
22903,14324.78
22904,14639.31
22905,14775.05
22906,14623.14
22907,14639.88
22908,14696.24
22909,14737.71
22910,14779.83
22911,14982.31
22912,15404.2
22913,16022.73
22914,16348.45
22915,16887.35
22916,16818.24
22917,15792.83
22918,14563.83
22919,13564.56
22920,13025.45
22921,12752.43
22922,12683.39
22923,12890.33
22924,13068.85
22925,14418.16
22926,16013.88
22927,17213.64
22928,17924.93
22929,17900.55
22930,17750.71
22931,17694.01
22932,17857.75
22933,17841.25
22934,18065.41
22935,18457.26
22936,18855.79
22937,18940.24
22938,19036.5
22939,19200.63
22940,18609.25
22941,17293.46
22942,15881.3
22943,14655.94
22944,13935.83
22945,13576.04
22946,13129.98
22947,13001.43
22948,12641.58
22949,12962.21
22950,13766.71
22951,14805.68
22952,15417.6
22953,15480.26
22954,15329.69
22955,15182.49
22956,15338.18
22957,15508.96
22958,15583.6
22959,15949.99
22960,16531.18
22961,16867.49
22962,17159.11
22963,17580.91
22964,17431.38
22965,16398.58
22966,15023.61
22967,14054.31
22968,13611.38
22969,13380.7
22970,13300.76
22971,13555.61
22972,14057.88
22973,16578.0
22974,18987.79
22975,20427.24
22976,20987.28
22977,20860.75
22978,21130.01
22979,21301.7
22980,21450.18
22981,21510.06
22982,21801.46
22983,21734.06
22984,21811.89
22985,21714.15
22986,21805.69
22987,22090.04
22988,21111.98
22989,19266.41
22990,17728.9
22991,16373.81
22992,15613.3
22993,15341.0
22994,15401.15
22995,15593.34
22996,15976.48
22997,18121.6
22998,19988.36
22999,21103.45
23000,21418.59
23001,21243.05
23002,21615.1
23003,21764.11
23004,21978.68
23005,21913.58
23006,22061.51
23007,21930.61
23008,21971.18
23009,21720.2
23010,21864.25
23011,22132.0
23012,20988.1
23013,19292.89
23014,17768.23
23015,16614.03
23016,16065.18
23017,15689.9
23018,15564.56
23019,15793.76
23020,16178.3
23021,18180.96
23022,20084.61
23023,21418.1
23024,21598.68
23025,21437.16
23026,21710.39
23027,21857.75
23028,21673.63
23029,21364.28
23030,21527.55
23031,21631.86
23032,21428.96
23033,21441.49
23034,21584.14
23035,21814.56
23036,20744.49
23037,19138.54
23038,17776.5
23039,16597.36
23040,15912.46
23041,15472.43
23042,15346.16
23043,15345.95
23044,15081.49
23045,15733.8
23046,16860.81
23047,18076.16
23048,18670.3
23049,18726.49
23050,18752.13
23051,18786.84
23052,18705.96
23053,18790.26
23054,18951.11
23055,19024.73
23056,18985.68
23057,18956.83
23058,19066.6
23059,19431.91
23060,18808.8
23061,17463.9
23062,16146.85
23063,15056.58
23064,14398.75
23065,13966.54
23066,13699.8
23067,13553.98
23068,13241.63
23069,13522.89
23070,14283.8
23071,15272.6
23072,15937.7
23073,16070.18
23074,16156.56
23075,16191.83
23076,16135.84
23077,16209.0
23078,16204.16
23079,16611.94
23080,16904.23
23081,17361.38
23082,17822.0
23083,18326.38
23084,17973.16
23085,16986.83
23086,15759.69
23087,14872.73
23088,14373.46
23089,14101.83
23090,14048.93
23091,14386.18
23092,14954.2
23093,17599.16
23094,19943.5
23095,21299.35
23096,21819.65
23097,21493.0
23098,21622.29
23099,21784.18
23100,21397.29
23101,21117.98
23102,21479.4
23103,21465.64
23104,21594.61
23105,21523.6
23106,21786.48
23107,22234.66
23108,21051.06
23109,19177.58
23110,17680.61
23111,16563.89
23112,16059.8
23113,15737.64
23114,15696.24
23115,15905.94
23116,16216.21
23117,18267.25
23118,20288.05
23119,21226.55
23120,21240.44
23121,21086.43
23122,21225.91
23123,21169.13
23124,21315.24
23125,21290.36
23126,21718.9
23127,21987.39
23128,21881.39
23129,21675.2
23130,21864.53
23131,22321.96
23132,21156.46
23133,19427.01
23134,17953.7
23135,16832.3
23136,16183.76
23137,15837.95
23138,15845.8
23139,16033.14
23140,16339.5
23141,18295.06
23142,20182.56
23143,21268.61
23144,21458.6
23145,21051.76
23146,21166.96
23147,21279.2
23148,21169.16
23149,21138.25
23150,21388.98
23151,21454.53
23152,21415.5
23153,21438.88
23154,21749.83
23155,22239.99
23156,20956.65
23157,19199.64
23158,17694.85
23159,16617.8
23160,15990.54
23161,15546.29
23162,15530.23
23163,15795.96
23164,16155.0
23165,18223.88
23166,20150.81
23167,21118.0
23168,21311.49
23169,20981.81
23170,21000.08
23171,21266.26
23172,21159.34
23173,20960.36
23174,21200.44
23175,21307.05
23176,21531.93
23177,21567.23
23178,21840.53
23179,22353.7
23180,21083.11
23181,19174.09
23182,17665.19
23183,16385.49
23184,15731.05
23185,15417.65
23186,15322.35
23187,15732.68
23188,16007.1
23189,18074.35
23190,20097.68
23191,21389.95
23192,21745.21
23193,21761.29
23194,22022.38
